video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=9nQjbJGeK1U&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@data4humanity536,data4humanity,Biased Hiring Algorithms,1.8K,5 years,Complicated machine learning algorithms are used frequently by employers in the hiring process to filter applicants. Unfortunately ...,2026-01-22 03:30:51.790329
/shorts/SHjuCI6m010,/@SkyeHighSkye,Skye High,The Lurking Bias: Hidden Discrimination in Viral Algorithms,197,9 months,"Is it just bad luck… or are the odds actually stacked against you? In 2025, algorithms don't just decide what goes viral—they ...",2026-01-22 03:30:51.791648
/watch?v=aFx2d3_BCrI&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@ChicagoBoothReview,Chicago Booth Review,A Hiring Algorithm That Isn’t Vulnerable to Biased Data,41K,9 months,"chicagobooth.edu/review | AI has become a popular tool for job recruiters, in part because programmers can code ...",2026-01-22 03:30:51.792873
/watch?v=7wslsOjIyuE&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AfricanAustralian,African Australian,AI Racial Bias - Racist Algorithms,214,4 years,Beware of racially bias Artificial Intelligence (A.I) systems. We've warned about this a few times over the years. But the adoption of ...,2026-01-22 03:30:51.794152
/watch?v=gzYgxEIwlUo&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@ethicalcompass8810,Ethical Compass,AI Bias and Discrimination,464,6 years,Have you ever wondered how your daily youtube or Instagram feed was generated? This simple process might have more ...,2026-01-22 03:30:51.795389
/watch?v=HrozScZsWyc&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@gibsononbooks,Gibson on Books,Is AI Biased? Understanding Discrimination in Machine Learning,51,2 years,"Are our AI systems inherently biased? As we lean heavily on technology to shape our future, understanding discrimination in ...",2026-01-22 03:30:51.796720
/watch?v=fNow1xifa48&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@AllTechIsHuman,All Tech Is Human,Data Discrimination & Algorithmic Bias w/ Safiya Umoja Noble & Meredith Broussard,1.7K,Streamed 5 years,How can we reduce data discrimination & algorithmic bias that perpetuate gender and racial inequalities? WATCH our discussion ...,2026-01-22 03:30:51.798677
/watch?v=pGXp_T7hSyw&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@claremontmckenna,Claremont McKenna College,Algorithmic Bias: The New Form of Discrimination,827,4 years,"Algorithmic Bias: The New Form of Discrimination with Professors Nishant Dass, Gabbrielle Johnson, Mike Izbicki, and Dr. Aaron ...",2026-01-22 03:30:51.800763
/shorts/1M1zRb9VkEQ,/@AlignedScienceAndTechnology,Aligned Science & Technology,Exploring the Dark Side of AI: Bias and Fairness in Algorithms,617,9 months,"AI systems can be biased! From faulty data to flawed algorithms, AI can unknowingly amplify hidden prejudices. This can lead to ...",2026-01-22 03:30:51.802151
/watch?v=uSqbLh8Qvdo&pp=ygUdYWxnb3JpdGhtIGJpYXMgZGlzY3JpbWluYXRpb24%3D,/@InSolidumLawyers,In Solidum Lawyers,Biases and Discrimination in Legal AI Algorithms: A Challenge to Overcome,22,1 year,"In this video, In Solidum Lawyers addresses a critical issue at the crossroads of technology and justice: biases and discrimination ...",2026-01-22 03:30:51.803422
